Subject,CourseName,URL
Art & Design Courses,Introduction to Graphic Illustration,https://www.classcentral.com/course/kadenze-introduction-to-graphic-illustration-3773
Art & Design Courses,"Cameras, Exposure, and Photography",https://www.classcentral.com/course/photocourse1-5463
Art & Design Courses,Guitar for Beginners,https://www.classcentral.com/course/guitar-522
Art & Design Courses,"19th-Century Opera: Meyerbeer, Wagner, & Verdi",https://www.classcentral.com/course/edx-19th-century-opera-meyerbeer-wagner-verdi-12384
Art & Design Courses,Introduction to User Experience Principles and Processes,https://www.classcentral.com/course/introtoux-principles-and-processes-12348
Art & Design Courses,Understanding User Needs,https://www.classcentral.com/course/understanding-user-needs-12352
Art & Design Courses,Evaluating Designs with Users,https://www.classcentral.com/course/evaluating-designs-with-users-12357
Art & Design Courses,Introduction to User Experience Design ,https://www.classcentral.com/course/user-experience-design-6535
Art & Design Courses,The 3D Printing Revolution,https://www.classcentral.com/course/3d-printing-revolution-5991
Art & Design Courses,Music and Social Action,https://www.classcentral.com/course/music-and-social-action-5842
Art & Design Courses,A Global History of Architecture,https://www.classcentral.com/course/edx-a-global-history-of-architecture-928
Art & Design Courses,Fundamentals of Digital Image and Video Processing,https://www.classcentral.com/course/digital-724
Art & Design Courses,Online Jamming and Concert Technology,https://www.classcentral.com/course/kadenze-online-jamming-and-concert-technology-3764
Art & Design Courses,Information Design,https://www.classcentral.com/course/infodesign-2787
Art & Design Courses,Scandinavian Film and Television,https://www.classcentral.com/course/scanfilmtv-665
Art & Design Courses,Getting Started With Music Theory,https://www.classcentral.com/course/music-theory-8026
Art & Design Courses,Jazz Improvisation,https://www.classcentral.com/course/improvisation-521
Art & Design Courses,Defining the String Quartet: Haydn,https://www.classcentral.com/course/edx-defining-the-string-quartet-haydn-19182
Art & Design Courses,Becoming the Next Bill Nye: Writing and Hosting the Educational Show (January IAP 2015),https://www.classcentral.com/course/mit-opencourseware-becoming-the-next-bill-nye-writing-and-hosting-the-educational-show-january-iap-2015-40903/classroom
Art & Design Courses,Roman Architecture,https://www.classcentral.com/course/romanarchitecture-910
Art & Design Courses,"Creative Design, Prototyping, and Testing",https://www.classcentral.com/course/creative-design-prototyping-testing-46406
Art & Design Courses,User Experience: Research & Prototyping,https://www.classcentral.com/course/user-research-2788
Art & Design Courses,Healing with the Arts,https://www.classcentral.com/course/healing-with-the-arts-8103
Art & Design Courses,3D Printing Hardware,https://www.classcentral.com/course/3d-printer-5990
Art & Design Courses,A Scuola con Raffaello,https://www.classcentral.com/course/independent-a-scuola-con-raffaello-21210
Art & Design Courses,Camera Control,https://www.classcentral.com/course/photocourse2-5539
Art & Design Courses,ART of the MOOC: Activism and Social Movements,https://www.classcentral.com/course/activism-social-movements-7195
Art & Design Courses,ART of the MOOC: Public Art and Pedagogy,https://www.classcentral.com/course/moocs-4095
Art & Design Courses,The Language of Design: Form and Meaning,https://www.classcentral.com/course/design-language-16927
