,listingID,sold,longitude,latitude,Price,district,county,parish,Title,Description,Ano,lift,parking,others,floor,type,toilets,private_area,area_gross,total_area,net_area,EVcharging
34,120992505-2,False,-9.11059093475342,38.7587547302246,790000.0,Lisboa,Lisboa,Olivais,"Moradia T4 à venda em Olivais, Lisboa | RE/MAX","Moradia junto ao Metro dos Olivais.
Moradia com 2 pisos, onde no piso 1 temos :
Hall de entrada, Sala com salamandra, Cozinha equipada, Escrit&oacute;",1968,Não,1 Lug.,Quintal;Terraço;Sistema de Segurança;Gás;Garagem C/ Portão Automático;Perto de Ginásio;Perto de Escola(s);Centro da Cidade;Cozinha Equipada;Jardim;Arrecadação;Perto de Transportes Públicos;Moradia;Perto de Parque;Perto de Lojas;Perto de Hospital;Trânsito de Acesso Fácil;Lareira,--,4,2,145,--,253,145,
35,121961656-56,False,-9.1260232925415,38.7259483337402,250000.0,Lisboa,Lisboa,Penha de França,"Moradia T1 à venda em Penha de França, Lisboa | RE/MAX","MORADIA COM TERRA&Ccedil;O
&nbsp;Gostaria de morar numa vila t&iacute;pica Lisboeta?
N&atilde;o precisa procurar mais! Aqui tem uma moradia T1+1 com u",1951,Não,Não,Terraço;Cozinha Equipada;Centro da Cidade;Moradia;Perto de Lojas;Perto de Transportes Públicos;Jardim;Usado Remodelado;Gás;Perto de Igreja;Perto de Jardim,--,1,1,35,--,63,35,
36,123171123-99,False,-9.1644392,38.7236176,199900.0,Lisboa,Lisboa,Campo de Ourique,"Moradia T2 à venda em Campo de Ourique, Lisboa | RE/MAX","Pitoresca moradia inserida na Vila Graciete - Rua Maria Pia.
Renovada moradia de apenas um piso&nbsp;inserida na Vila Graciete, com dois quartos, uma ",1989,Não,Não,,R/C,2,1,57,--,--,55,
37,124511014-688,False,-9.18591114730291,38.762073097879,1400000.0,Lisboa,Lisboa,Carnide,"Moradia T4 à venda em Carnide, Lisboa | RE/MAX","Moradias T4 em Carnide
Moradias com 248m2 de constru&ccedil;&atilde;o, completamente equipada com materiais de primeira qualidade e terra&ccedil;o na ",2022,Não,1 Lug.,Moradia;Piscina;Este;Jardim;Privada,--,4,4,248,--,--,215,
38,124511014-689,False,-9.18632030487061,38.760555267334,1400000.0,Lisboa,Lisboa,Carnide,"Moradia T4 à venda em Carnide, Lisboa | RE/MAX","Moradias T4 em Carnide
Moradias com 248m2 de constru&ccedil;&atilde;o, completamente equipada com materiais de primeira qualidade e terra&ccedil;o na ",2022,Não,1 Lug.,Moradia;Piscina;Este;Jardim;Privada,--,4,4,248,--,--,215,
39,124511014-691,False,-9.18632030487061,38.760555267334,1400000.0,Lisboa,Lisboa,Carnide,"Moradia T4 à venda em Carnide, Lisboa | RE/MAX","Moradias T4 em Carnide
Moradias com 248m2 de constru&ccedil;&atilde;o, completamente equipada com materiais de primeira qualidade e terra&ccedil;o na ",2022,Não,1 Lug.,Moradia;Piscina;Este;Jardim;Privada,--,4,4,248,--,--,215,
40,124511014-692,False,-9.18632030487061,38.760555267334,1400000.0,Lisboa,Lisboa,Carnide,"Moradia T4 à venda em Carnide, Lisboa | RE/MAX","Moradias T4 em Carnide
Moradias com 248m2 de constru&ccedil;&atilde;o, completamente equipada com materiais de primeira qualidade e terra&ccedil;o na ",2022,Não,1 Lug.,Moradia;Piscina;Este;Jardim;Privada,--,4,4,248,--,--,215,
41,124511014-693,False,-9.18632030487061,38.760555267334,1400000.0,Lisboa,Lisboa,Carnide,"Moradia T4 à venda em Carnide, Lisboa | RE/MAX","Moradias T4 em Carnide
Moradias com 248m2 de constru&ccedil;&atilde;o, completamente equipada com materiais de primeira qualidade e terra&ccedil;o na ",2022,Não,1 Lug.,Moradia;Piscina;Este;Jardim;Privada,--,4,4,248,--,--,215,
42,120531366-4,False,-9.12588119506836,38.7642822265625,890000.0,Lisboa,Lisboa,Olivais,"Moradia T6 à venda em Olivais, Lisboa | RE/MAX","Moradia T6 | Olivais | Lisboa
Moradia T6 de 224 m2, em lote de 448 m2, com 2 pisos e s&oacute;t&atilde;o, jardim, terra&ccedil;o, churrasco e varanda.",1960,Não,2 Lug.,Moradia;Jardim;Terraço;Arrecadação;Casa com Quartos no Sótão;Lareira;Sul;Varanda;Ar Condicionado;Energias Renováveis;Urbano;Usado Remodelado;Aquecimento Solar;Residencial,--,6,3,224,224,448,205,
43,121981024-836,False,-9.11635208129883,38.7362670898438,750000.0,Lisboa,Lisboa,Beato,"Moradia T4 à venda em Beato, Lisboa | RE/MAX","Moradia T4 em Lisboa Beato
&nbsp;
Constituida por 3 andares.
Cave:
*3 divis&otilde;es, 2 com janelas
*Garrafeira
R/C:
*Quarto com pavimento em parquet",1997,Não,1 Lug.,Moradia;Madeira;Lareira;Jardim;Quintal;Arrecadação,--,4,2,147,--,187,172,
